HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT
Maida Dental Hospital,Lahore,Data Gunj Buksh Town,"Maida Dental Hospital, Data Gunj Baksh Town, Data Gunj Buksh Town, Lahore",-,3215908245
Ngp Clinic & Hospital (Sant Nagar Branch),Lahore,Data Gunj Buksh Town,"Ngp Clinic & Hospital (Sant Nagar Branch), Shaykh Abdul Qadir Jilani Rd, Sant Nagar Data Gunj Buksh Town, Data Gunj Buksh Town, Lahore",-,3111188801
Zikriya Hospital,Lahore,Data Gunj Buksh Town,"Zikriya Hospital, H8Q4+286? Kacha Ravi Rd, Data Gunj Buksh Town, Lahore",1,4237725454
Dentaire Care Dental Surgery Hospital,Lahore,Defence Chowk,"Dentaire Care Dental Surgery Hospital, 9/ Asif Plaza, Service Road, Near Ladies Driving School, Defence Chowk, Lahore",-,3009432868
The Health Care Complex Hospital,Lahore,Defence Road,"The Health Care Complex Hospital, Main Defence Road, Gate No 4 Road, Opposite Dha Rahber Sector 2 Gate 4, Defence Road, Lahore",2,3054352959
Citi Hospital - Defence Road,Lahore,Defence Road Near Bahira Town,"Citi Hospital - Defence Road, Defence Road, Mohlanwal Near Bahira Town, Defence Road Near Bahira Town, Lahore",3,3214724400
The Ar Medics Hospital,Lahore,Defense Phase 6,"The Ar Medics Hospital, House No 57, Defence Raya, Street 1, Defense Phase 6, Lahore",-,3450084141
Zainab Siddique Poly Clinic,Lahore,Defense Road,"Zainab Siddique Poly Clinic, Round About Engineering Town Sector A, Defense Road, Lahore",1,306755999
Aadil Hospital,Lahore,Dha,"Aadil Hospital, Main Boulevard Dha, Dha, Lahore",106,42111223454
Farooq Hospital Dha Lahore,Lahore,Dha,"Farooq Hospital Dha Lahore, Second Floor Room 16, Avenue Mall, Main Ghazi Rd, Dha, Dha, Lahore",13,3300600800
Farooq Hospital (Dha),Lahore,Dha,"Farooq Hospital (Dha), Avenue Mall, Main Ghazi Rd, Dha, Lahore",18,3300600800
Suhail Eye Hospital,Lahore,Dha,"Suhail Eye Hospital, Second Floor Dha Main Boulevard Shabbir Sharif Rd Dha Phase, Dha, Lahore",1,3000631163
Get Well Medical Center,Lahore,Dha,"Get Well Medical Center, Building No 70, Block Cca, Commercial Market, Dha, Lahore",2,0
Cma Healthcare Complex Hospital,Lahore,Dha,"Cma Healthcare Complex Hospital, Dd Cca Phase 4 Dha, Dha, Lahore",7,3111222398
Dermasolutions Hospital,Lahore,Dha,"Dermasolutions Hospital, 202Mb, Phase 6C, Dha, Lahore",1,3234969556
Skin Matic Hospital,Lahore,Dha,"Skin Matic Hospital, 53-F, First Floor, Main Boulevard Punjab Cooperative Housing Society, Near Ghazi Road, Dha, Lahore",-,4232591427
Dr Faiza Kaifee Hospital,Lahore,Dha,"Dr Faiza Kaifee Hospital, 186 St 9, Sector D Dha Phase 1, Lahore, Dha, Lahore",1,4237207401
Happiness Therapy Center,Lahore,Dha,"Happiness Therapy Center, Office # 4, 1St Floor, Above Hbl Bank & Bundu Khan Bakers, Ali Raza Tower, Main Boulevard Dha, Dha, Lahore",1,3218861464
Defence Dental Gallery Hospital,Lahore,Dha,"Defence Dental Gallery Hospital, Plaza No.257 Cca, Sector Ff, Phase 4, Dha,, Dha, Lahore",1,3111222398
The Dental Company Hospital,Lahore,Dha,"The Dental Company Hospital, 0 Aa Sector Market Phase 4 Dha, Dha, Lahore",1,3215908245
Expert Physio And Pain Relief Center,Lahore,Dha,"Expert Physio And Pain Relief Center, 52-D, Block Commercial Market, Eme Society Lahore, Dha, Lahore",1,3316671904
"Health Care Complex , Hospital",Lahore,Dha,"Health Care Complex , Hospital, Defense Road Opposite Dha Rahber Sector 2, Dha, Lahore",1,3245190775
Home Plus Clinic,Lahore,Dha,"Home Plus Clinic, 72 - C Street No.2 Phase 5 Dha, Dha, Lahore",-,3064333391
Home Visit Lahore Hospital,Lahore,Dha,"Home Visit Lahore Hospital, Near Lahore General Hospital (Dha ), Dha, Lahore",1,3454385876
Shifa Opd Clinics,Lahore,Dha Eme Cottages,"Shifa Opd Clinics, 107D, Commercial Area, Dha Eme Sector,, Dha - Eme Cottages, Lahore",1,3224596787
Arif Medical Eme Hospital (Dha),Lahore,Dha Eme Cottages,"Arif Medical Eme Hospital (Dha), 365 J, Sector 12, Dha - Eme Cottages, Lahore",-,3005163933
Doctors Hospital Lab And Medical Centre,Lahore,Dha Kamahan Exit,"Doctors Hospital Lab And Medical Centre, Plaza 144/1-3, Bchs. Off Lahore Ring Road, Dha / Kamahan Exit, Lahore",-,4232591427
National Hospital & Medical Centre,Lahore,Dha Defence,"National Hospital & Medical Centre, 132/3, L-Block, Dha, Phase 1, Dha Defence, Lahore",61,42111171819
Novimed Specialist Clinic,Lahore,Dha Defence,"Novimed Specialist Clinic, 14-S, Phase 2, Ghazi Road, Dha Defence, Lahore",13,3030903692
National Hospital & Medical Center,Lahore,Dha Defence,"National Hospital & Medical Center, 132 Block-L,, Dha Defence, Lahore",6,042-111-17-18-19
Dr Shafiq Cheema Clinic,Lahore,Dha Defence,"Dr Shafiq Cheema Clinic, Block L, 132 Street 3, Sector X, Dha Defence, Lahore",-,3152381111
Defence Medical Group Hospital,Lahore,Dha Defence,"Defence Medical Group Hospital, Sector Dd Phase 4, Dha Defence, Lahore",1,3009450311
National Defense Hospital,Lahore,Dha Defence,"National Defense Hospital, 132/3, L-Block, Near Sports Stadium, Dha Defence, Lahore",6,3365002624
Dha Medical Centre Lahore,Lahore,Dha Defence,"Dha Medical Centre Lahore, W Block, Defence Phase 3, Dha Defence, Lahore",4,3414051114
Smart Eye Centre (Laser Eye Specialist Clinic),Lahore,Dha Defence,"Smart Eye Centre (Laser Eye Specialist Clinic), 17-A Block A Commercial, Phase 5, Dha Defence, Lahore",2,3377002888
Akhtar Saeed Trust Hospital,Lahore,Dha Defence,"Akhtar Saeed Trust Hospital, 258 F Halli St, Block F Dha Eme Sector, Dha Defence, Lahore",26,4235234102
The Vision Eye Clinic,Lahore,Dha Defence,"The Vision Eye Clinic, 167-H, H Block Commercial Market, Phase 1, Dha Defence, Lahore",1,042-32591432
Dr Zarqa Aesthetic Skin Clinic,Lahore,Dha Defence,"Dr Zarqa Aesthetic Skin Clinic, 195-Dd Commercial Area Phase 4, Dha Defence, Lahore",-,33354454303
Lahore Spine Care-Dr Shiza Khan Hospital,Lahore,Dha Defence,"Lahore Spine Care-Dr Shiza Khan Hospital, 69/10 F2 Punjab Cooperative Housing Society Dha, Dha Defence, Lahore",1,3340043512
Doctors Diagnostic Lab And Consultants Hospital,Lahore,Dha Defence,"Doctors Diagnostic Lab And Consultants Hospital, 115-G, Phase 1, Dha Defence, Lahore", ,4235690950
The Smile Studio Dental Clinic,Lahore,Dha Defence,"The Smile Studio Dental Clinic, 276 Y Phase, Dha Defence, Lahore",2,3214461306
Hassan Medical Centre,Lahore,Dha Defence,"Hassan Medical Centre, E-152, Street#9, Iqbal Park, Main Boulevard, Dha Defence, Lahore",7,042-36651889
Mumtaz Rafiq Health Care Hospital,Lahore,Dha Defence,"Mumtaz Rafiq Health Care Hospital, 69/12 Block -F Street 4 Main Boulevard Punjab Cooperative Housing Society, Dha Defence, Lahore",2,3214374781
Right Homeopathy Clinic,Lahore,Dha Defence,"Right Homeopathy Clinic, Office# 72, Mezzanine Floor, Defence Shopping Mall, Main Boulevard, Opposite Rasheed Hospital, Dha Defence, Lahore",1,(042) 111 111 493
Abdul Rafe Eye Clinic,Lahore,Dha Defence,"Abdul Rafe Eye Clinic, 25 Ghazi Rd Sector K Pjhase 1, Dha Defence, Lahore",-,(042) 32500444
Mudesir Ali Studio Hospital,Lahore,Dha Defence,"Mudesir Ali Studio Hospital, Phase 6, Dha Defence, Lahore",-,3334204205
Hijama Medication Cupping Therapy Hospital,Lahore,Dha Defence,"Hijama Medication Cupping Therapy Hospital, 232C, Punjab Society, Dha Defence, Lahore",-,3350705802
Multicare Hospital,Lahore,Dha Defence,"Multicare Hospital, 45 Cc A, Dha Defence, Lahore",-,3364620007
Pims (Pakistan Institute Of Mind Science) Hospital,Lahore,Dha Defence,"Pims (Pakistan Institute Of Mind Science) Hospital, Street No.33, House No. 327, Sector S, Phase 2, Dha Defence, Lahore",1,3218195097
Cosmetique Clinic,Lahore,Dha Defence,"Cosmetique Clinic, 190 Dd Block, Commercial Area, Next To Jamia Mosque, Dha Defence, Lahore",1,4235894211
Chughtaii Medical Center,Lahore,Dha Defence,"Chughtaii Medical Center, 94-Cca Dd Block, Phase 4 Sector Cca, Dha Defence, Lahore",1,04232591427-28
Mahtab Pharmacy Hospital,Lahore,Dha Defence,"Mahtab Pharmacy Hospital, 23 F , Phase 1 Sector F Commercial Area Sector, Dha Defence, Lahore",1,(042) 35897071
Skin Laser Point Hospital,Lahore,Dha Defence,"Skin Laser Point Hospital, 105-K, Phase 1, Dha Defence, Lahore",1,3224465542
Human Body Scan Center,Lahore,Dha Defence,"Human Body Scan Center, 46-Kcommercial Area, Dha Defence, Lahore",-,042-35749951-53
Prime Care Hospital,Lahore,Dha Defence,"Prime Care Hospital, Main Boulevard, Defence Road, Dha Defence, Lahore",8,042-36675123-7
Abubakar Ghias Hospital,Lahore,Dha Defence,"Abubakar Ghias Hospital, 69-D. Street 19. Phase 1. Dha, Dha Defence, Lahore",1,3334222006
Iffat Anwar Medical Complex Dha Hospital,Lahore,Dha Defence,"Iffat Anwar Medical Complex Dha Hospital, Plot 115, Sector G Phase 1, Dha Defence, Lahore",2,0322 8063067
Sana Samin Dental Care Hospital,Lahore,Dha Defence,"Sana Samin Dental Care Hospital, 163-H, Block Basement, Dha Defence, Lahore",3,4237214884
Aesthetic Skin Clinic,Lahore,Dha Defence,"Aesthetic Skin Clinic, Gulberg 2, Dha Defence, Lahore",1,3010345577
Al Khair Clinic,Lahore,Dha Defence,"Al Khair Clinic, 290/8 Q Block Main Airport Road, Dha Defence, Lahore",-,3355555431
Defense Clinic,Lahore,Dha Defence,"Defense Clinic, 549 Aa Phase 4, Dha Defence, Lahore",1,NA
Dental Plus Hospital,Lahore,Dha Defence,"Dental Plus Hospital, Dha. 297-Y Dha Phase 3, Dha Defence, Lahore",-,3214936968
Hayat Memorial Teaching Hospital,Lahore,Dha Defence,"Hayat Memorial Teaching Hospital, Defence Road Near Bhubattian Chowk, Dha Defence, Lahore",3,3164896914
Lahore Health Care Clinic,Lahore,Dha Defence,"Lahore Health Care Clinic, 194/1 Y Block, Phase 3, Dha Defence, Lahore",1,4235897141
Nishat Polyclinic,Lahore,Dha Defence,"Nishat Polyclinic, Dha Main Boulevard, Dha Defence, Lahore",1,3325577402
Advance Physio Clinic,Lahore,Dha Defence,"Advance Physio Clinic, 31.A Avenue 4 Phase 6, Dha Defence, Lahore",-,3314368554
Akram Eye Hospital,Lahore,Dha Defence,"Akram Eye Hospital, Khayaban-E-Jinnah, Main Boulevard, Dha Defence, Lahore", ,3004279350
Ali Retina Eye Clinic,Lahore,Dha Defence,"Ali Retina Eye Clinic, 233-Y, Phase 3, Commercial Area, Dha Defence, Lahore",1,4237185536
An Dental Surgery Hospital,Lahore,Dha Defence,"An Dental Surgery Hospital, 30-T Commercial Area, Phase 2 Near Lalik Chowk, Dha Defence, Lahore",4,3205707708
Asthma And Wellness Advisory Services Hospital,Lahore,Dha Defence,"Asthma And Wellness Advisory Services Hospital, First Floor, 38-A Commercial Area,, Dha Defence, Lahore",1,3334334424
Brunnen Clinic,Lahore,Dha Defence,"Brunnen Clinic, 113 Cca, Dd Block, Phase Iv, Dha Defence, Lahore",4,3111125125
Children Orthopedic Clinic,Lahore,Dha Defence,"Children Orthopedic Clinic, 73-K, Block Commercial Area, Phase 1, Dha Defence, Lahore",1,0321-4352454
Cosmoplast Lahore Hospital,Lahore,Dha Defence,"Cosmoplast Lahore Hospital, 14-Dd Market, Phase-Iv,, Dha Defence, Lahore",1,0321 6357501
Defence Clinic,Lahore,Dha Defence,"Defence Clinic, 25K Commercial Phase 1, Dha Defence, Lahore",1,3360453313
Defence Dental Surgery Hospital,Lahore,Dha Defence,"Defence Dental Surgery Hospital, H-Block, Phase 1, Dha Defence, Lahore",1,4235894869
Defence Skin Laser And Cosmetology Hospital,Lahore,Dha Defence,"Defence Skin Laser And Cosmetology Hospital, 290 Q, First Floor (Clinex Pharmacy) Phase Ii Ghazi Rd,, Dha Defence, Lahore",1,0333 4227842
Defense Dental Surgery Hospital,Lahore,Dha Defence,"Defense Dental Surgery Hospital, 4-H, Commercial Phase 1, Dha Defence, Lahore",-,4235894869
Defense Medical Group Hospital,Lahore,Dha Defence,"Defense Medical Group Hospital, Defense Medical Group, Dd Block, Phase 4, Dha Defence, Lahore",-,4235742291
Dental & Maxillofacial Surgery Hospital,Lahore,Dha Defence,"Dental & Maxillofacial Surgery Hospital, 57-D, Cheema Ave, Dha Defence, Lahore",1,3247944715
Dental Aesthetics Hospital,Lahore,Dha Defence,"Dental Aesthetics Hospital, 187 Y Block, Dha Defence, Lahore",3,3008406474
Dental Expertise Hospital,Lahore,Dha Defence,"Dental Expertise Hospital, Phase 4 Sector Cca, Dha Defence, Lahore",1,3004749194
Dental Health Care Hospital,Lahore,Dha Defence,"Dental Health Care Hospital, H Block Market, Dha Defence, Lahore",1,4235723544
Dental Smile Hospital,Lahore,Dha Defence,"Dental Smile Hospital, Phase 4 Sector Cca, Dha Defence, Lahore",2,4237185835
Dental Square Hospital,Lahore,Dha Defence,"Dental Square Hospital, 68 Cca Phase 5, Dha Defence, Lahore",4,3214292521
Diabetes Wellness Center,Lahore,Dha Defence,"Diabetes Wellness Center, 200-Y Commercial Area,(Opposite Chen One) Phase 3, Dha Defence, Lahore",1,4235895085
Division Hospital,Lahore,Dha Defence,"Division Hospital, Clinic No 167 Block H, Dha Defence, Lahore",-,3349981034
Dr Zarqa Laser Skin Clinic,Lahore,Dha Defence,"Dr Zarqa Laser Skin Clinic, 94, Cca Phase-5, Dha Defence, Lahore",-,0423 7182276
Dr. Nabila Clinic,Lahore,Dha Defence,"Dr. Nabila Clinic, 31-A Phase 6, Dha Defence, Lahore",1,3334525516
Ghauri Dental Center,Lahore,Dha Defence,"Ghauri Dental Center, Ghauri Dental Center, 281-Q Commercial Line, Phase Ii, Dha Defence, Lahore",1,0333 3711434
Golden Crown Clinic,Lahore,Dha Defence,"Golden Crown Clinic, 82-Cca Phase V, Dha Defence, Lahore",1,3211110975
Gs Coaching Institute Hospital,Lahore,Dha Defence,"Gs Coaching Institute Hospital, Office-45, Xx Block,Phase 3, Dha Defence, Lahore",1,--
Ideal Smile Hospital,Lahore,Dha Defence,"Ideal Smile Hospital, 188-Cca-Dd Phase Iv, Dha Defence, Lahore",1,4237185738
Integrative Holistic Care Centre,Lahore,Dha Defence,"Integrative Holistic Care Centre, 421 J Block Al Wasey Tower Commercial Area, Eme Housing Society, Dha Defence, Lahore",-,0321 8439362
Kaleem Rehabilitation Center,Lahore,Dha Defence,"Kaleem Rehabilitation Center, 374-F Block Phase 2, Dha Defence, Lahore",1,042-32591432
Kozmatics Hospital,Lahore,Dha Defence,"Kozmatics Hospital, 38Xx Phase 3, Dha Defence, Lahore",2,3334568222
Lahore Health Care Hospital,Lahore,Dha Defence,"Lahore Health Care Hospital, 194/1, Stret13, Y-Block, Dha Defence, Lahore",1,4235897141
Mafazatulhayat Hospital,Lahore,Dha Defence,"Mafazatulhayat Hospital, 3Km Chungi Amar Sidhu, Dha Defence, Lahore",1,4235402574
Medics Medical Center Dha Rahbar,Lahore,Dha Defence,"Medics Medical Center Dha Rahbar, Plot J 67, Block J Dha Rahbar Phase 2, Dha Defence, Lahore",1,0317 4888397
Midland Medical Center,Lahore,Dha Defence,"Midland Medical Center, Phase 8 Broadway Near To Airport, Dha Defence, Lahore",1,0321 4087776
Munir Dental Aesthetics Hospital,Lahore,Dha Defence,"Munir Dental Aesthetics Hospital, 143-Cca, Block D, Phase 4, Dha Defence, Lahore",2,4235694198
New Prince Optics/ Eye Specialist Hospital,Lahore,Dha Defence,"New Prince Optics/ Eye Specialist Hospital, Street 123, Sector H, Dha Defence, Lahore",1,3334815131
Orthopaedic &Sports Medicine Centre,Lahore,Dha Defence,"Orthopaedic &Sports Medicine Centre, 115, G Phase1, Dha Defence, Lahore",1,4235690950
Physiosol Hospital,Lahore,Dha Defence,"Physiosol Hospital, 20, Sector N, Dha Defence, Lahore",-,3134666551
Reshape U Clinic,Lahore,Dha Defence,"Reshape U Clinic, Al-Wasay Plaza J- Block, Dha Defence, Lahore",-,0331 4001972
Sgh Clinic,Lahore,Dha Defence,"Sgh Clinic, 45 Xx Block Commercial Area, Dha Defence, Lahore",1,3024231430
Sns Dental Services Hospital,Lahore,Dha Defence,"Sns Dental Services Hospital, 66-Z Cca, Phase Iii, Dha Defence, Lahore",2,4235898654
Sports And Spine Professionals Hospital,Lahore,Dha Defence,"Sports And Spine Professionals Hospital, 85-Cca, Sector Dd, Phase - 4,, Dha Defence, Lahore",1,3234367741
Sports Medicine Clinic,Lahore,Dha Defence,"Sports Medicine Clinic, 115 G Phase 1, Dha Defence, Lahore",-,3008910566
Tahira Maalik Clinic,Lahore,Dha Defence,"Tahira Maalik Clinic, Phase 6 Near Gloria Jeanz, Dha Defence, Lahore",-,3324872514
Timeless Clinic,Lahore,Dha Defence,"Timeless Clinic, Plaza No 4, H Block Phase 1, Dha Defence, Lahore",1,042 35890071- 72
Ultra Derm Skin & Lasers Clinic,Lahore,Dha Defence,"Ultra Derm Skin & Lasers Clinic, 98 Cca/ Dd Phase 4, Dha Defence, Lahore",1,4235034778
Venus Aesthetics Hospital,Lahore,Dha Defence,"Venus Aesthetics Hospital, Cca, 26, Sector C Phase 5, Dha Defence, Lahore",-,0311 1117546
Al Aziz Clinic,Lahore,Dha Phase 1,"Al Aziz Clinic, Main Bazaar Nishat Colony, Near A Block, Dha Phase 1, Lahore",1,3009644164
Ent Clinic (Dha),Lahore,Dha Phase 1,"Ent Clinic (Dha), 32/3 Sector-A, Street 14, Dha Phase 1, Lahore",1,3004358054
National Hospital And Medical Center,Lahore,Dha Phase 1,"National Hospital And Medical Center, Dha Phase 1, Dha Phase 1, Lahore",1,3315033113
Happeiness Hospital,Lahore,Dha Phase 1,"Happeiness Hospital, 1St Floor, 376-N, Dha Phase 1, Lahore",-,3218861464
Sparc (Sial Physiotherapy & Rehabilitation Center),Lahore,Dha Phase 1,"Sparc (Sial Physiotherapy & Rehabilitation Center), 53-K, D.H.A, Phase-1, Dha Phase 1, Lahore",1,3314246045
Clinic Anyproblem N Familycare,Lahore,Dha Phase 1,"Clinic Anyproblem N Familycare, Plaza No 25, K Commercial Area, Dha Phase 1, Dha Phase 1, Lahore",1,3004926774
Dr Ishrat Shah Clinic,Lahore,Dha Phase 1,"Dr Ishrat Shah Clinic, 162 Sector M, Dha Phase 1, Lahore",-,3111222398
Ageless Skin Laser Hospital,Lahore,Dha Phase 1,"Ageless Skin Laser Hospital, Shop # 32/5 Block A, Facing Park, Dha Phase 1, Lahore",-,0305 9693200
Al Shaday Sha Gynae And Dental Clinic,Lahore,Dha Phase 1,"Al Shaday Sha Gynae And Dental Clinic, A Block Shop No 32/8, Dha Phase 1, Lahore",1,3344291858
Center Point Dental Surgery And Trauma Clinic,Lahore,Dha Phase 1,"Center Point Dental Surgery And Trauma Clinic, 300/1, Sector K, Dha Phase 1, Lahore",-,4232591427
Hameed Lateef Labortary Hospital,Lahore,Dha Phase 1,"Hameed Lateef Labortary Hospital, Statelife Housing Society Phase 1 F Block Commercial Area, Dha Phase 1, Lahore",1,3111222398
Neo Dental Hub Hospital,Lahore,Dha Phase 1,"Neo Dental Hub Hospital, 78-K, Dha Phase 1, Lahore",-,3097004753
Physiosol Hospital,Lahore,Dha Phase 1,"Physiosol Hospital, 20, Sector N, Firdaus Market, Dha Phase 1, Lahore",1,3134666551
Proactive Physical Medicine Hospital,Lahore,Dha Phase 1,"Proactive Physical Medicine Hospital, 115 Commercial, Sector H, Dha Phase 1, Lahore",1,3030249993
Utopia By Abeera Hospital,Lahore,Dha Phase 1,"Utopia By Abeera Hospital, Dha Phase 1 K Block, Dha Phase 1, Lahore",1,3338473228
Zara S Dental Surgery Hospital,Lahore,Dha Phase 1,"Zara S Dental Surgery Hospital, 152 G Block, Dha Phase 1, Lahore",1,042-32591432
Dentimed Cosmetic And Implant Center,Lahore,Dha Phase 2,"Dentimed Cosmetic And Implant Center, 290, Q Block Commercial Area, Lg Clinix Pharmacy, Ghazi Rd, Near Bhatta Chowk, Dha Phase 2, Lahore",2,4235708489
Dr. Ghazala Butt Skin & Aesthetics Clinic,Lahore,Dha Phase 2,"Dr. Ghazala Butt Skin & Aesthetics Clinic, 360/4, Q-Block, Dha Phase 2, Lahore",-,3334306199
Al-Khair Homeopathic Clinic & Medical Store,Lahore,Dha Phase 2,"Al-Khair Homeopathic Clinic & Medical Store, 290, 8 Ghazi Rd, Sector Q Dha Phase 2, Dha Phase 2, Lahore",-,3088979797
Defence Skin Clinic,Lahore,Dha Phase 2,"Defence Skin Clinic, 290 Q, First Floor Clinix Pharmacy, Street 8, Ghazi Rd, Dha Phase-2, Lahore",1,3354227844
Dental Max Dha Branch Hospital,Lahore,Dha Phase 2,"Dental Max Dha Branch Hospital, Plaza No 27, Cca Block T Near Lalik Jaan Chowk, Dha Phase 2, Lahore",-,3174950267
Rosmatic Skin Laser & Dental Clinic,Lahore,Dha Phase 3,"Rosmatic Skin Laser & Dental Clinic, Plot C 134, Sector Y, Dha Phase 3, Lahore",1,0320 4800368
London Aesthetics & Rejuvenation Centre,Lahore,Dha Phase 3,"London Aesthetics & Rejuvenation Centre, 59-Z, Commercial, Sector Z, Dha Phase 3, Lahore",2,3034445272
National Medicare Hospital,Lahore,Dha Phase 3,"National Medicare Hospital, W-2 Commercial, W Block, Dha Phase 3, Lahore",1,3351495751
Asethetic Care Hospital,Lahore,Dha Phase 3,"Asethetic Care Hospital, 38 , Sector Xx Dha Phase 3, Dha Phase 3, Lahore",-,0304 1115757
Rejuvenate Clinic Dha,Lahore,Dha Phase 3,"Rejuvenate Clinic Dha, 132-Y, Mezzanine Floor, Phase 3 Commercial, Sector Y, Dha Phase 3, Lahore",7,3111173588
School Of Nutrition Hospital,Lahore,Dha Phase 3,"School Of Nutrition Hospital, 150 Y, Dha Phase 3, Lahore",-,0323-4285040
Aesthetics Lab By Tibbi Hospital,Lahore,Dha Phase 3,"Aesthetics Lab By Tibbi Hospital, 147, Cca, Sector Y, Dha Phase 3, Lahore",1,3111184224
Iron Box Fitness Studio And Crossfit963 Hospital,Lahore,Dha Phase 3,"Iron Box Fitness Studio And Crossfit963 Hospital, 186 Y, St 12,, Dha Phase 3, Lahore",1,0321 4766269
Sanabil Health Services Hospital,Lahore,Dha Phase 3,"Sanabil Health Services Hospital, 28-Khiyaban-E-Iqbal Mansoora Bazar Multan Road, Dha Phase 3, Lahore",2,3418852008
Amt Medical And Dental Centre,Lahore,Dha Phase 3,"Amt Medical And Dental Centre, 430 Ee, Sector Ee Dha Phase 4, Dha Phase 3, Lahore",1,4235724014
Arizona Dental Practice Hospital,Lahore,Dha Phase 3,"Arizona Dental Practice Hospital, 95-Y Commercial Area, Sector Y Dha Phase 3, Dha Phase 3, Lahore",2,3084420994
Dr. Abubakar Malik Home Clinic,Lahore,Dha Phase 3,"Dr. Abubakar Malik Home Clinic, 832- Z Block, Dha Phase 3, Lahore",1,3029522987
Holistic Care Clinic,Lahore,Dha Phase 3,"Holistic Care Clinic, 188-Y Street 12, Dha Phase 3, Lahore",-,3334211888
Mudeser Ali Fitnesspro Studio Hospital,Lahore,Dha Phase 3,"Mudeser Ali Fitnesspro Studio Hospital, 150, 1St Floor, Y Block, Dha Phase 3, Lahore",-,3334204205
"Chughtai Medical Centre ,",Lahore,Dha Phase 4,"Chughtai Medical Centre ,, Plot 154Cc Near Habib Bank Sector Dd, Dha Phase 4, Lahore",1,3111456789
Kids Care Clinic,Lahore,Dha Phase 4,"Kids Care Clinic, 416 Street 8, Sector Cc Dha Phase 4, Lahore, Punjab, Dha Phase 4, Lahore",5,3008788867
Oculus Advanced Eye Care Hospital,Lahore,Dha Phase 4,"Oculus Advanced Eye Care Hospital, Plaza No.115 Cca, Dha Phase 4, Dha Phase 4, Lahore",2,3111666414
Al Mustafa Trust Medical Centre,Lahore,Dha Phase 4,"Al Mustafa Trust Medical Centre, Ee, 430, Dha Phase 4 Sector Ee Punjab, Dha Phase 4, Lahore",5,4235724014
Cma Clinic,Lahore,Dha Phase 4,"Cma Clinic, Dd Phase 4 Dha Lahore Besides Jamea Masjid Dd, Dha Phase 4, Lahore",1,3324631041
Health Solution By Dr. Zerva Khan Hospital,Lahore,Dha Phase 4,"Health Solution By Dr. Zerva Khan Hospital, Plaza No. 109, Block-Cca, Phase-4C, Dha Phase 4, Lahore",1,3111222398
Dr Zeeshan Javed Clinic,Lahore,Dha Phase 4,"Dr Zeeshan Javed Clinic, House # 106 Block Jj, Dha Phase 4, Lahore",-,33334062905
Friends Table Hospital,Lahore,Dha Phase 4,"Friends Table Hospital, 133 Ee, Dha Phase 4, Lahore",-,3324872514
Cosmagic Plastic And Cosmetic Surgery Clinic,Lahore,Dha Phase 4,"Cosmagic Plastic And Cosmetic Surgery Clinic, 13-Dd, Dha Phase 4, Lahore",1,0302 9423495
Chugtai Medical Center (Phase 4),Lahore,Dha Phase 4,"Chugtai Medical Center (Phase 4), 194 Cca, Block Dd, Dha Phase 4, Lahore",4,3334889324
Komplett Laser And Healthcare Hospital,Lahore,Dha Phase 4,"Komplett Laser And Healthcare Hospital, 291 Ff Cca, Dha Phase 4, Lahore",2,(042) 35879015
Avicenna Hospital,Lahore,Dha Phase 4,"Avicenna Hospital, 291 Ff Cca Defence Phase 4.Komplett Health Care, Dha Phase 4, Lahore",1,3228400971
Dar-Ul-Shifa Hospital,Lahore,Dha Phase 4,"Dar-Ul-Shifa Hospital, 114, Commercial Area Sector Cca Dha, Phase 4,, Dha Phase 4, Lahore",-,3224113648
My Fitness Clinic,Lahore,Dha Phase 4,"My Fitness Clinic, Sector Dd, Dha Phase 4, Lahore",1,3441871558
All Care Dental & Medical Complex Hospital,Lahore,Dha Phase 4,"All Care Dental & Medical Complex Hospital, 13 Sector Dd, Dha Phase 4, Lahore",-,3069696008
Cosmomedics Aesthetic Hospital,Lahore,Dha Phase 4,"Cosmomedics Aesthetic Hospital, 50 Cca, Dd Block Dha Phase 4, Dha Phase 4, Lahore",1,3369733722
Dental Cafe Hospital,Lahore,Dha Phase 4,"Dental Cafe Hospital, 55, Block Dd, Cca Commercial, Dha Phase 4, Lahore",1,3344178962
Desiresthetics Hospital,Lahore,Dha Phase 4,"Desiresthetics Hospital, Street 7 Dha Phase 4 Dd Block Plaza 14, Street 3, Lahore, 50000, Dha Phase 4, Lahore",1,042-32591432
Doctors Hospital Dha,Lahore,Dha Phase 4,"Doctors Hospital Dha, Bankers Society, Dha Phase 4, Lahore",1,4232591427
Kcc Medical Hub Hospital,Lahore,Dha Phase 4,"Kcc Medical Hub Hospital, 13-Cc Commercial Area, Dha Phase 4, Lahore",-,3353611089
Mahrukh Aslam Khawaja Clinic,Lahore,Dha Phase 4,"Mahrukh Aslam Khawaja Clinic, 307 Aa, Phase 4, Dha Phase 4, Lahore",1,3206879979
Oxygym Gold Crest Mall Hospital,Lahore,Dha Phase 4,"Oxygym Gold Crest Mall Hospital, Plot 205 Sector Dd Dha Phase 4, Dha Phase 4, Lahore",1,3204100104
Physiogic Hospital,Lahore,Dha Phase 4,"Physiogic Hospital, 194 - Dd Commercial, Dha Phase 4, Lahore",1,3314128524
Integrated Medical Care Hospital,Lahore,Dha Phase 5,"Integrated Medical Care Hospital, Sector F, Dha Phase 5, Lahore",5,3219431936
