HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT
Shan Medical Centre,Multan,Budhla Sant,"Shan Medical Centre, Multan Road, Budhla Sant, Multan",-,042-32591427
Bakhtawar Bin Hospital,Multan,Bypass,"Bakhtawar Bin Hospital, Northern By Pass Dehr Chowk, Bypass, Multan",-,3111222398
Bakhtawar Amin Hospital Multan,Multan,Bypass Road,"Bakhtawar Amin Hospital Multan, Northern Bypass, Near New Kuchehry, Bypass Road, Multan",3,3336011968
Bakht Sawai Memorial Clinic,Multan,Bypass Road,"Bakht Sawai Memorial Clinic, Lal Bagh Bypass Road Laal Bagh Shujabad, Bypass Road, Multan",-,3407013090
Cmh Hospital,Multan,Cantt,"Cmh Hospital, Ghaus-Ul-Azam Road, Cantt, Multan",8,619201703
Life Care Psychological Clinic,Multan,Central Jail Road,"Life Care Psychological Clinic, Indus Oil Mils, Central Jail Road, Central Jail Road, Multan",-,3088421980
Multan Medical Complex Hospital,Multan,Chah Mubarak Wala,"Multan Medical Complex Hospital, Ghaus Ul Azam Road, Chungi No.1, Chah Mubarak Wala, Multan",6,614513243
City Hospital,Multan,Chah Usman Wala,"City Hospital, La Salle Rd, Peer Khursheed Colony Road, Near Virtual University, Chah Usman Wala, Chah Usman Wala, Multan",10,616510367
Fatima Speech Clinic,Multan,Chowk Kumhara,"Fatima Speech Clinic, Near Pakistan Kitab Ghar In Chishti Bookshop Street, Chowk Kumhara, Multan",1,3216304313
Health First Physiotherapy Clinic,Multan,Chowk Munda,"Health First Physiotherapy Clinic, Rangpur Rd, Chowk Munda, Multan",1,3468165482
Fatima Clinic,Multan,Chungi 11,"Fatima Clinic, Ansar Colony, Chungi 11, Multan",-,3156574072
Pakistan Specialist Clinic,Multan,Chungi No 1,"Pakistan Specialist Clinic, Chungi No 1, Chungi No 1, Multan",2,4232591427
Weightless Slimming & Aesthetic Clinic,Multan,Chungi No 1,"Weightless Slimming & Aesthetic Clinic, Ghous E Azam Road, Chungi No. 1, Multan",1,3166101111
Bakhtawar Amin Medical Centre,Multan,Chungi No 1,"Bakhtawar Amin Medical Centre, Suraj Miani Road, Chungi No 1, Multan",2,3216833118
Insight Mind Care (Imc) Hospital,Multan,Chungi No 1,"Insight Mind Care (Imc) Hospital, House No 64/537 Lane 3 Opposite To Bakhtwar Ameen Hospital Bismillah Colony, Chungi No. 1, Multan",1,0302 6310695
Usama Clinic,Multan,Chungi No 1,"Usama Clinic, Soraj Miani Road, Chungi No 1, Multan",1,3006330147
Bakhtawar Amin Memorial Hospital Multan (Chungi No 1),Multan,Chungi No 1,"Bakhtawar Amin Memorial Hospital Multan (Chungi No 1), Chungi No 1, Chungi No 1, Multan",-,0304 8792904
Faisal Physiotherapy And Acupuncture Center,Multan,Chungi No 5,"Faisal Physiotherapy And Acupuncture Center, Near National Bank, Chungi No 5, Multan",-,3170667771
Kahkshan Counseling Center,Multan,Chungi No 6,"Kahkshan Counseling Center, 742-C, Near Dilshad Medical Hall, Bata Chowk, Chungi No, 6, Multan",1,3000793419
Ahmed Children Hospital,Multan,Deffence Officer Colony,"Ahmed Children Hospital, 5C74+2W5, Sher Shah Road, Defence Officer Colony, Deffence Officer Colony, Multan",1,3116128827
First Med Neuro Psyc Clinic,Multan,Deffence Officer Colony,"First Med Neuro Psyc Clinic, Deffence Officer Colony, Deffence Officer Colony, Multan",-,042 32591427
