province,district,total_population,number_of_hospitals,total_doctors,number_of_schools,avg_boys_enrolled_pct,avg_girls_enrolled_pct
SINDH,sanghar,2057057.0,1.0,3.0,12496.0,78.2475,21.755000000000003
SINDH,shaheedbenazirabad,1612847.0,23.0,0.0,10504.0,73.1725,26.83
SINDH,shikarpur,1231481.0,0.0,0.0,5200.0,73.7275,26.2725
SINDH,sujawal,781967.0,0.0,0.0,0.0,0.0,0.0
SINDH,sukkur,1487903.0,9.0,111613111.0,5004.0,76.535,23.4675
SINDH,tandoallahyar,836887.0,0.0,0.0,3324.0,76.52499999999999,23.475
SINDH,tandomuhammadkhan,677228.0,2.0,11.0,4068.0,76.5925,23.4075
SINDH,tharparkar,1649661.0,2.0,13.0,0.0,0.0,0.0
SINDH,thatta,979817.0,0.0,0.0,0.0,0.0,0.0
SINDH,umerkot,1073146.0,0.0,0.0,8904.0,77.7425,22.2575
